Nama,Retail Price,Discount,Final Price,link
CS902VT,135000000,0.2,108000000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cs900vt
CES95380PZT,102270000,0.2,81816000,https://www.toto.co.id/product/sanitary-ware/toilet/wall-hung-toilet/ces95380pzt
CES87320VT,84000000,0.2,67200000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/ces87320vt
CES87220VT,72100000,0.2,57680000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/ces87220vt
CES87120VT,68600000,0.2,54880000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/ces87120vt
CES85510VT,52500000,0.2,42000000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/ces85510vt
CES83410VT,45500000,0.2,36400000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/ces83410vt
C889CDREID,31650000,0.2,25320000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/c889cdreid
CW823REJ,29145000,0.2,23316000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw823rej
CW934J,9345000,0.2,7476000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw934j
CW823RJ,8955000,0.2,7164000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw823rj
CW823PJ,8272500,0.2,6618000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw823pj
CW840J,6945000,0.2,5556000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw840j
CW895J,5775000,0.2,4620000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw895j
CW895PJ,5775000,0.2,4620000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw895pj
CW630J,5122500,0.2,4098000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw630j
CW630PJ,5122500,0.2,4098000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw630pj
CW675J,4500000,0.2,3600000,https://www.toto.co.id/product/sanitary-ware/toilet/one-piece-toilet/cw675j
CW956RPJ/SW956JP (S-Trap),6427500,0.2,5142000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw956rpj%2Fsw956jp-(s-trap)
CW956RPJ/SW956JP (P-Trap),6172500,0.2,4938000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw956rpj%2Fsw956jp-(p-trap)
CW811NPJ/SW811NJP (S-Trap),6637500,0.2,5310000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw811npj-sw811njp-s-trap
CW811NPJ/SW811NJP (P-Trap),6442500,0.2,5154000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw811npj-sw811njp-p-trap
CW635PJ/SW635JP2 (S-Trap),6555000,0.2,5244000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw635pj-sw635jp2-s-trap
CW635PJ/SW635JP2 (P-Trap),6360000,0.2,5088000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw635pj-sw635jp2-p-trap
CW635PJ/SW635JP1 (S-Trap),6555000,0.2,5244000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw635pj-sw635jp1-s-trap
CW635PJ/SW635JP1 (P-Trap),6360000,0.2,5088000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw635pj-sw635jp1-p-trap
CW500PJ/SW500JP (S-Trap),4950000,0.2,3960000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw500pj-sw500jp-s-trap
CW500PJ/SW500JP (P-Trap),4755000,0.2,3804000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw500pj-sw500jp-p-trap
CW273PJ/SW273JP (S-Trap),7455000,0.2,5964000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw273pj-sw273jp-s-trap
CW273PJ/SW273JP (P-Trap),7260000,0.2,5808000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw273pj-sw273jp-p-trap
CW252PJ/SW252JP (S-Trap),7725000,0.2,6180000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw252pj-sw252jp-s-trap
CW252PJ/SW252JP (P-Trap),7530000,0.2,6024000,https://www.toto.co.id/product/sanitary-ware/toilet/closed-coupled-toilet/cw252pj-sw252jp-p-trap
CW951J,11392500,0.2,9114000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw951j
CW822RJT2,8505000,0.2,6804000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw822rjt2
